usuario|publicacion
Charles|Kevin De Bruyne del Tottenham Hotspur fue expulsado por doble amarilla en la jornada 10.
Kathryn|Bukayo Saka del Manchester United dio una asistencia brillante en la jornada 10.
Sheryl|Marcus Rashford del Liverpool dejó todo en la cancha en la jornada 10.
Heather|Erling Haaland del Newcastle United falló un penalti decisivo en el cierre de la liga.
Richard|Kevin De Bruyne del Aston Villa hizo una entrada polémica en un partido histórico.
Adriana|Jack Grealish del Manchester City fue expulsado por doble amarilla en el clásico.
William|Harry Kane del Manchester City dio una asistencia brillante en el derbi de Londres.
Gina|Bruno Fernandes del Aston Villa dio una asistencia brillante bajo la lluvia.
Mary|Jack Grealish del Arsenal marcó un gol espectacular en la jornada 10.
Kelly|Mohamed Salah del Manchester United falló un penalti decisivo en un encuentro tenso.
William|Harry Kane del Manchester United fue el jugador del partido en el último suspiro.
Richard|Mohamed Salah del Aston Villa dio una asistencia brillante en el debut de la temporada.
Andrea|Phil Foden del Chelsea falló un penalti decisivo en un partido histórico.
Tracy|Harry Kane del Arsenal celebró con los aficionados en el derbi de Londres.
Jacob|Erling Haaland del Chelsea marcó un gol espectacular en el clásico.
Jeremiah|Raheem Sterling del Chelsea ganó el partido en tiempo de descuento en el cierre de la liga.
Bryan|Harry Kane del Chelsea dejó todo en la cancha bajo la lluvia.
Reginald|Phil Foden del Manchester City fue expulsado por doble amarilla en un partido histórico.
Erica|Jack Grealish del Liverpool marcó un gol espectacular en la jornada 10.
Samuel|Marcus Rashford del Leicester City hizo una entrada polémica en el clásico.
Laura|Jack Grealish del Arsenal hizo una entrada polémica en un encuentro tenso.
Karen|Bukayo Saka del Manchester United dio una asistencia brillante con el estadio lleno.
Hunter|Raheem Sterling del West Ham United fue el jugador del partido en la jornada 10.
Jeremiah|Erling Haaland del Chelsea fue el jugador del partido en el clásico.
Gabriella|Kevin De Bruyne del Manchester City hizo una entrada polémica en un partido histórico.
Molly|Marcus Rashford del Tottenham Hotspur marcó un gol espectacular en la jornada 10.
Jay|Bukayo Saka del West Ham United ganó el partido en tiempo de descuento con el estadio lleno.
Heather|Phil Foden del Newcastle United salvó a su equipo en el último minuto en la jornada 10.
Mary|Kevin De Bruyne del Tottenham Hotspur falló un penalti decisivo con el estadio lleno.
Andrea|Jack Grealish del West Ham United fue el jugador del partido en la jornada 10.
Emily|Harry Kane del Tottenham Hotspur celebró con los aficionados en el clásico.
