Usuario|comentario|tipo emocion
Adriana|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Benjamin|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Nicholas|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Jesse|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Troy|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
April|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Charles|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Joan|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Jessica|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Craig|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Megan|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Amy|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Molly|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Sheryl|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Caroline|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Joshua|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Jay|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Julian|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Keith|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Sally|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Barbara|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Melissa|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Katelyn|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Jerry|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Sandra|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Emily|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Brad|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Tracy|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
William|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Chloe|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
John|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Katrina|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Karen|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Mary|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Thomas|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Kathryn|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Dustin|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Kimberly|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Austin|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Laura|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Kristen|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Anna|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Heather|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Jennifer|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Larry|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Brittany|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Deanna|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Brian|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Christina|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Crystal|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Samuel|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Natalie|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Richard|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Andrea|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Heidi|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Steven|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Elizabeth|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Theresa|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Jacob|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Kelly|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Tina|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Jeffrey|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Bryan|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Danielle|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Shelby|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
David|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Jake|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Carlos|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Erica|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
James|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|pensativo
Jared|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Linda|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|enojado
Lauren|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|no me gusta
Jeremiah|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Zachary|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Amanda|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|me gusta
Hunter|Bruno Fernandes del Liverpool fue expulsado por doble amarilla en el debut de la temporada.|alegre
Shelley|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Robert|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Norma|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Ryan|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Gabriella|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Justin|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Nicole|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Abigail|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Gina|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Omar|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Mark|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Chad|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Kyle|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Dylan|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Wendy|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Kayla|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Judith|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Reginald|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Kenneth|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Anthony|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Michael|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Stanley|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Julie|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Adriana|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Benjamin|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Nicholas|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Jesse|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Troy|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
April|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Charles|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Joan|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Jessica|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Craig|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Megan|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Amy|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Molly|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Sheryl|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Caroline|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Joshua|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Jay|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Julian|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Keith|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Sally|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Barbara|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Melissa|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Katelyn|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Jerry|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Sandra|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Emily|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Brad|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Tracy|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
William|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Chloe|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
John|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Katrina|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Karen|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Mary|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Thomas|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Kathryn|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Dustin|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Kimberly|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Austin|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Laura|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Kristen|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Anna|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Heather|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Jennifer|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Larry|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Brittany|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Deanna|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Brian|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Christina|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Crystal|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Samuel|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Natalie|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Richard|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Andrea|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Heidi|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Steven|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Elizabeth|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Theresa|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Jacob|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Kelly|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Tina|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Jeffrey|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Bryan|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Danielle|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Shelby|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
David|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Jake|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Carlos|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Erica|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
James|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Jared|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Linda|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|alegre
Lauren|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|pensativo
Jeremiah|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|enojado
Zachary|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Amanda|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|no me gusta
Hunter|Harry Kane del Arsenal falló un penalti decisivo en la jornada 10.|me gusta
Shelley|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Robert|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Norma|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Ryan|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Gabriella|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Justin|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Nicole|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Abigail|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Gina|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Omar|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Mark|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Chad|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Kyle|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Dylan|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Wendy|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Kayla|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Judith|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Reginald|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Kenneth|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Anthony|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Michael|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Stanley|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Julie|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Adriana|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Benjamin|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Nicholas|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Jesse|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Troy|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
April|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Charles|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Joan|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Jessica|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Craig|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Megan|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Amy|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Molly|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Sheryl|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Caroline|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Joshua|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Jay|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Julian|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Keith|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Sally|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Barbara|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Melissa|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Katelyn|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Jerry|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Sandra|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Emily|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Brad|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Tracy|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
William|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Chloe|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
John|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Katrina|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Karen|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Mary|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Thomas|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Kathryn|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Dustin|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Kimberly|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Austin|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Laura|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Kristen|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Anna|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Heather|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Jennifer|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Larry|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Brittany|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Deanna|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Brian|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Christina|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Crystal|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Samuel|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Natalie|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Richard|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Andrea|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Heidi|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Steven|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Elizabeth|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Theresa|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Jacob|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Kelly|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Tina|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Jeffrey|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Bryan|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Danielle|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Shelby|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
David|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Jake|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Carlos|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Erica|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
James|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Jared|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|pensativo
Linda|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Lauren|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Jeremiah|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|me gusta
Zachary|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|no me gusta
Amanda|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|alegre
Hunter|Mohamed Salah del West Ham United marcó un gol espectacular en la jornada 10.|enojado
Shelley|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Robert|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Norma|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Ryan|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Gabriella|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Justin|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Nicole|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Abigail|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|alegre
Gina|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|me gusta
Omar|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Mark|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Chad|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Kyle|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|pensativo
Dylan|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|no me gusta
Wendy|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
Kayla|Bruno Fernandes del Tottenham Hotspur celebró con los aficionados en el cierre de la liga.|enojado
